"S","N","p","Ecapt","b","alpha0.8_50","alpha0.9_50","alpha0.95_50"
5,500,0.1,204.755,-2.58562370922835,0.926,0.949,0.964
5,500,0.2,336.16,-2.75152209701588,0.934,0.955,0.969
5,500,0.3,415.965,-2.82038771611084,0.937,0.957,0.971
5,500,0.4,461.12,-2.85321887180224,0.939,0.959,0.972
5,1000,0.1,409.51,-2.81537804150708,0.937,0.957,0.971
5,1000,0.2,672.32,-2.97078920465899,0.944,0.962,0.974
5,1000,0.3,831.93,-3.03552638137443,0.946,0.964,0.976
5,1000,0.4,922.24,-3.0664343197749,0.947,0.965,0.977
7,500,0.1,260.85155,-2.6676703654124,0.93,0.952,0.966
7,500,0.2,395.1424,-2.80391064022068,0.936,0.957,0.97
7,500,0.3,458.82285,-2.85163500989059,0.938,0.958,0.971
7,500,0.4,486.0032,-2.86984356406308,0.939,0.959,0.972
7,1000,0.1,521.7031,-2.89214083290605,0.94,0.96,0.973
7,1000,0.2,790.2848,-3.02002538958307,0.946,0.964,0.976
7,1000,0.3,917.6457,-3.06494258080599,0.947,0.965,0.977
7,1000,0.4,972.0064,-3.08209606056687,0.948,0.966,0.977
9,500,0.1,306.2897555,-2.72099802411907,0.932,0.954,0.968
9,500,0.2,432.891136,-2.83313086187027,0.938,0.958,0.971
9,500,0.3,479.8231965,-2.86580276578502,0.939,0.959,0.972
9,500,0.4,494.961152,-2.87560234443295,0.94,0.959,0.972
9,1000,0.1,612.579511,-2.94213658389034,0.942,0.961,0.974
9,1000,0.2,865.782272,-3.04751963339841,0.947,0.965,0.976
9,1000,0.3,959.646393,-3.07828864691058,0.948,0.966,0.977
9,1000,0.4,989.922304,-3.08752297245439,0.948,0.966,0.977
